PM10 Delhi,12:00:00 AM,1:00:00 AM,2:00:00 AM,3:00:00 AM,4:00:00 AM,5:00:00 AM,6:00:00 AM,7:00:00 AM,8:00:00 AM,9:00:00 AM,10:00:00 AM,11:00:00 AM,12:00:00 PM,1:00:00 PM,2:00:00 PM,3:00:00 PM,4:00:00 PM,5:00:00 PM,6:00:00 PM,7:00:00 PM,8:00:00 PM,9:00:00 PM,10:00:00 PM,11:00:00 PM
1/1/2015,,935.18,,,,976.99,862.23,731.83,725.74,656.93,525.54,548.82,522.93,408.62,340.28,459.01,340.66,257.4,351.01,600.95,714.63,691.84,732.59,776.36
1/2/2015,860.32,806.07,856.68,765,797.09,516.14,467.81,301.48,115.4,62.6,41.87,65.11,36.25,28.97,52.68,49.89,64.7,60.09,99.63,79.18,92.42,84.77,87.2,77.82
1/3/2015,80.01,79.21,64.16,60.41,58.67,77.92,121.09,141.42,153.5,115.25,77.69,72.47,72.14,138.99,136.04,74.21,75.63,110.24,201.95,240.96,244.87,237.31,237.23,294.26
1/4/2015,348.1,392.3,324.97,289.9,246.69,223.71,196.85,207.29,169.94,131.5,118.18,131.51,168.19,176.21,178.41,191.44,193.73,191.9,212.79,319.24,362.56,383.05,337.61,308.1
1/5/2015,232.69,227.05,209.64,192.68,182.68,183.36,214.78,212.68,205.5,209.69,220.64,217.57,253.12,272.29,241.96,219.85,215.78,197.13,189.93,223.8,222.72,225.81,223.53,264.28
1/6/2015,250.84,263.23,261.85,248.08,225.35,208.53,234.76,214.46,206.93,216.47,219.28,195.67,225.84,265.16,286.14,251.2,252.73,210.24,237.53,255.59,267.39,294.46,268.07,490.6
1/7/2015,435.7,354.3,312.67,412.82,402.4,383.52,400.44,331.61,364.15,379.69,416.38,408.49,410.19,403.81,380.16,366.06,360.91,352.82,341.65,387.55,277.44,336.37,350.17,467.04
1/8/2015,477.25,404.94,454.31,393.46,348.04,446.52,407.23,387.05,296.69,229.74,196.74,332.72,272.72,341.07,264.31,336.68,345.34,320.75,321.34,347.43,523.01,421.79,420.59,373.06
1/9/2015,378.58,371.22,381.44,390.12,329.92,276.43,385.63,319.46,225.55,295.36,257.36,298.86,389.05,337.16,382.94,337.23,502.4,458.84,433.29,513.02,445.1,591.72,694.59,543.15
1/10/2015,501.43,469.38,350.39,346.47,400.72,419.96,424.47,367.15,264.82,307.74,235.78,269.35,324.4,297.48,272.71,243.13,238.57,245.69,278.29,291.68,366.17,581.3,716.23,468.47
1/11/2015,291.88,282.72,228.24,268.24,305.62,256.5,241.88,198.38,172.74,160.24,164.18,169.03,171.21,185.44,177,171.11,173.09,165.36,168.36,180.08,171.13,191,214.4,222.04
1/12/2015,205.1,276.22,278.42,243.06,276.98,266.88,266.76,205.38,192.26,214.87,213.52,256.82,156.85,157.49,167.68,209.88,206.76,203.99,203.21,198.94,158.8,156.72,171.98,209.39
1/13/2015,414.46,389.78,419.57,429.26,374.44,307,375.99,253.68,193.02,280.33,222.59,280.63,265.15,238.3,163.59,284.19,294.48,285.47,264.5,265.12,286.03,309.85,335.3,292.29
1/14/2015,318.52,293.04,303.83,277.62,248.41,226.12,293.79,229.11,237.44,220.52,206.7,189.09,170.23,187.93,184.94,187.12,232.56,225.96,207.4,188.33,163.77,209.91,235.17,219.65
1/15/2015,201.36,182.2,119.85,,,103.56,332.33,351.97,369.45,247.11,314.84,381.74,328.01,294.19,289.46,279.61,187.45,257.78,193.92,399.41,421.94,328.51,309.22,352.45
1/16/2015,361.56,409.32,375.35,301.18,309.44,353.68,403.69,383.99,244.82,256.67,230.56,247.24,268.04,311.84,206.51,202.64,191.67,251.11,318.39,334.59,315.71,377.53,335.16,448.96
1/17/2015,483.94,476.25,424.55,463.43,322.26,413.58,291.46,252.05,232.74,279.78,240.65,267.72,258.7,203.05,238.79,262.78,164.4,154.83,223.83,318.15,559.64,620.3,700.01,695.86
1/18/2015,592.21,483.21,555.1,322.99,347.14,317.69,433.57,377.38,337.96,390.43,290.81,262.03,271.74,202.41,202.79,378.41,197.89,178.96,234.14,274.7,349.39,589.2,663.82,379.99
1/19/2015,536.36,333.33,264.92,315.18,237.46,196.84,297.44,264.92,268.12,278.23,220.4,389.03,366.47,318.46,262.23,267.04,301.78,389.43,324.28,271.19,236.7,325.84,319.11,338.25
